Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2
China,Western Pacific Region of WHO,Eastern Asia,1997,1,1996-12-30,1997-01-05,,,1,,,1,,,5,5,6,
China,Western Pacific Region of WHO,Eastern Asia,1997,2,1997-01-06,1997-01-12,,,1,,,1,,,1,1,2,
China,Western Pacific Region of WHO,Eastern Asia,1997,3,1997-01-13,1997-01-19,,,5,,,5,,,6,6,11,
China,Western Pacific Region of WHO,Eastern Asia,1997,4,1997-01-20,1997-01-26,,,2,,,2,,,9,9,11,
China,Western Pacific Region of WHO,Eastern Asia,1997,5,1997-01-27,1997-02-02,,,1,,,1,,,21,21,22,
China,Western Pacific Region of WHO,Eastern Asia,1997,6,1997-02-03,1997-02-09,,,3,,,3,,,15,15,18,
China,Western Pacific Region of WHO,Eastern Asia,1997,7,1997-02-10,1997-02-16,,,3,,,3,,,22,22,25,
China,Western Pacific Region of WHO,Eastern Asia,1997,8,1997-02-17,1997-02-23,,,3,,,3,,,13,13,16,
China,Western Pacific Region of WHO,Eastern Asia,1997,9,1997-02-24,1997-03-02,,,7,,,7,,,10,10,17,
China,Western Pacific Region of WHO,Eastern Asia,1997,10,1997-03-03,1997-03-09,,,6,,,6,,,11,11,17,
China,Western Pacific Region of WHO,Eastern Asia,1997,11,1997-03-10,1997-03-16,,,5,,,5,,,12,12,17,
China,Western Pacific Region of WHO,Eastern Asia,1997,12,1997-03-17,1997-03-23,,,11,,,11,,,17,17,28,
China,Western Pacific Region of WHO,Eastern Asia,1997,13,1997-03-24,1997-03-30,,,5,,,5,,,10,10,15,
China,Western Pacific Region of WHO,Eastern Asia,1997,14,1997-03-31,1997-04-06,,,10,,,10,,,6,6,16,
China,Western Pacific Region of WHO,Eastern Asia,1997,15,1997-04-07,1997-04-13,,,5,,,5,,,3,3,8,
China,Western Pacific Region of WHO,Eastern Asia,1997,16,1997-04-14,1997-04-20,,,10,,,10,,,,0,10,
China,Western Pacific Region of WHO,Eastern Asia,1997,17,1997-04-21,1997-04-27,,,11,,,11,,,4,4,15,
China,Western Pacific Region of WHO,Eastern Asia,1997,18,1997-04-28,1997-05-04,,,10,,,10,,,2,2,12,
China,Western Pacific Region of WHO,Eastern Asia,1997,19,1997-05-05,1997-05-11,,,11,,,11,,,1,1,12,
China,Western Pacific Region of WHO,Eastern Asia,1997,20,1997-05-12,1997-05-18,,,19,,,19,,,,0,19,
China,Western Pacific Region of WHO,Eastern Asia,1997,21,1997-05-19,1997-05-25,,,25,,,25,,,,0,25,
China,Western Pacific Region of WHO,Eastern Asia,1997,22,1997-05-26,1997-06-01,,,29,,,29,,,1,1,30,
China,Western Pacific Region of WHO,Eastern Asia,1997,23,1997-06-02,1997-06-08,1,,45,,,46,,,,0,46,
China,Western Pacific Region of WHO,Eastern Asia,1997,24,1997-06-09,1997-06-15,,,12,,,12,,,,0,12,
China,Western Pacific Region of WHO,Eastern Asia,1997,25,1997-06-16,1997-06-22,,,30,,,30,,,,0,30,
China,Western Pacific Region of WHO,Eastern Asia,1997,26,1997-06-23,1997-06-29,,,34,,,34,,,,0,34,
China,Western Pacific Region of WHO,Eastern Asia,1997,27,1997-06-30,1997-07-06,,,22,,1,23,,,,0,23,
China,Western Pacific Region of WHO,Eastern Asia,1997,28,1997-07-07,1997-07-13,,,23,,,23,,,,0,23,
China,Western Pacific Region of WHO,Eastern Asia,1997,29,1997-07-14,1997-07-20,,,16,,3,19,,,,0,19,
China,Western Pacific Region of WHO,Eastern Asia,1997,30,1997-07-21,1997-07-27,,,21,,2,23,,,1,1,24,
China,Western Pacific Region of WHO,Eastern Asia,1997,31,1997-07-28,1997-08-03,9,,17,,,26,,,,0,26,
