"","year","frac_h1n1","frac_h3n2","frac_h2n2"
"1",1968,0,1,0
"2",1969,0,1,0
"3",1970,0,1,0
"4",1971,0,1,0
"5",1972,0,1,0
"6",1973,0,1,0
"7",1974,0,1,0
"8",1975,0,1,0
"9",1976,0.291666666666667,0.708333333333333,0
"10",1977,0,1,0
"11",1978,0.590909090909091,0.409090909090909,0
"12",1979,0.2,0.8,0
"13",1980,0.0869565217391304,0.91304347826087,0
"14",1981,0.0454545454545455,0.954545454545455,0
"15",1982,0.0714285714285714,0.928571428571429,0
"16",1983,0.580246913580247,0.419753086419753,0
"17",1984,0.0303030303030303,0.96969696969697,0
"18",1985,0,1,0
"19",1986,0.1875,0.8125,0
"20",1987,0.142857142857143,0.857142857142857,0
"21",1988,0.0714285714285714,0.928571428571429,0
"22",1989,0,1,0
"23",1990,0.0535714285714286,0.946428571428571,0
"24",1991,0.0319148936170213,0.968085106382979,0
"25",1992,0,1,0
"26",1993,0.00480769230769231,0.995192307692308,0
"27",1994,0.0137931034482759,0.986206896551724,0
"28",1995,0.113207547169811,0.886792452830189,0
"29",1996,0.0606060606060606,0.939393939393939,0
"30",1997,0,1,0
"31",1998,0.0036101083032491,0.996389891696751,0
"32",1999,0,1,0
"33",2000,0.0257009345794393,0.974299065420561,0
"34",2001,0.102272727272727,0.897727272727273,0
"35",2002,0.00400534045393859,0.995994659546061,0
"36",2003,0.0389419544452608,0.961058045554739,0
"37",2004,0.00260416666666667,0.997395833333333,0
"38",2005,0.0153609831029186,0.984639016897081,0
"39",2006,0.0913838120104439,0.908616187989556,0
"40",2007,0.245437079731028,0.754562920268972,0
"41",2008,0.162285136501517,0.837714863498483,0
"42",2009,0.643189043775984,0.356810956224016,0
"43",2010,0.242091672046482,0.757908327953518,0
"44",2011,0.566813048933501,0.433186951066499,0
"45",2012,0.271272727272727,0.728727272727273,0
