year,month,h3n2,h1n1,b, frac_h3n2, frac_h1n1, frac_b, total, regionOnly
1968,,34,0,0,1.0,0.0,0.0,34,0
1969,,9,0,1,0.9,0.0,0.1,10,0
1970,,8,0,2,0.8,0.0,0.2,10,0
1971,,10,0,0,1.0,0.0,0.0,10,0
1972,,18,0,2,0.9,0.0,0.1,20,0
1973,,10,0,5,0.667,0.0,0.333,15,0
1974,,14,0,0,1.0,0.0,0.0,14,0
1975,,15,0,1,0.938,0.0,0.062,16,0
1976,,17,7,4,0.607,0.25,0.143,28,0
1977,,14,0,1,0.933,0.0,0.067,15,0
1978,,9,13,2,0.375,0.542,0.083,24,0
1979,,8,2,1,0.727,0.182,0.091,11,0
1980,,21,2,2,0.84,0.08,0.08,25,0
1981,,21,1,2,0.875,0.042,0.083,24,0
1982,,26,2,7,0.743,0.057,0.2,35,0
1983,,34,47,3,0.405,0.56,0.036,84,0
1984,,32,1,5,0.842,0.026,0.132,38,0
1985,,45,0,5,0.9,0.0,0.1,50,0
1986,,13,3,5,0.619,0.143,0.238,21,0
1987,,24,4,6,0.706,0.118,0.176,34,0
1988,,26,2,14,0.619,0.048,0.333,42,0
1989,,76,0,13,0.854,0.0,0.146,89,0
1990,,53,3,32,0.602,0.034,0.364,88,0
1991,,91,3,25,0.765,0.025,0.21,119,0
1992,,114,0,15,0.884,0.0,0.116,129,0
1993,,207,1,37,0.845,0.004,0.151,245,0
1994,,143,2,57,0.708,0.01,0.282,202,0
1995,,188,24,73,0.66,0.084,0.256,285,0
1996,,248,16,44,0.805,0.052,0.143,308,0
1997,,188,0,88,0.681,0.0,0.319,276,0
1998,,276,1,49,0.847,0.003,0.15,326,0
1999,,366,0,131,0.736,0.0,0.264,497,0
2000,,417,11,118,0.764,0.02,0.216,546,0
2001,,316,36,271,0.507,0.058,0.435,623,0
2002,,746,3,489,0.603,0.002,0.395,1238,0
2003,,1308,53,223,0.826,0.033,0.141,1584,0
2004,,1149,3,347,0.767,0.002,0.231,1499,0
2005,,1282,20,677,0.648,0.01,0.342,1979,0
2006,,1044,105,603,0.596,0.06,0.344,1752,0
2007,,1571,511,886,0.529,0.172,0.299,2968,0
2008,,1657,321,1310,0.504,0.098,0.398,3288,0
2009,,1459,2630,667,0.307,0.553,0.14,4756,0
2010,,1174,375,1256,0.419,0.134,0.448,2805,0
2011,,1381,1807,1034,0.327,0.428,0.245,4222,0
2012,,2004,746,940,0.543,0.202,0.255,3690,0
