year,month,h3n2,h1n1,b, frac_h3n2, frac_h1n1, frac_b, total, regionOnly
1968,,34,0,0,1.0,0.0,0.0,34,0
1969,,9,0,1,0.9,0.0,0.1,10,0
1970,,8,0,2,0.8,0.0,0.2,10,0
1971,,10,0,0,1.0,0.0,0.0,10,0
1972,,18,0,2,0.9,0.0,0.1,20,0
1973,,10,0,5,0.667,0.0,0.333,15,0
1974,,14,0,0,1.0,0.0,0.0,14,0
1975,,15,0,1,0.938,0.0,0.062,16,0
1976,,17,7,4,0.607,0.25,0.143,28,0
1977,,14,0,1,0.933,0.0,0.067,15,0
1978,,9,13,2,0.375,0.542,0.083,24,0
1979,,8,2,1,0.727,0.182,0.091,11,0
1980,,21,2,2,0.84,0.08,0.08,25,0
1981,,21,1,2,0.875,0.042,0.083,24,0
1982,,26,2,7,0.743,0.057,0.2,35,0
1983,,34,47,3,0.405,0.56,0.036,84,0
1984,,32,1,5,0.842,0.026,0.132,38,0
1985,,45,0,5,0.9,0.0,0.1,50,0
1986,,13,3,5,0.619,0.143,0.238,21,0
1987,,24,4,6,0.706,0.118,0.176,34,0
1988,,26,2,14,0.619,0.048,0.333,42,0
1989,,76,0,13,0.854,0.0,0.146,89,0
1990,,53,3,32,0.602,0.034,0.364,88,0
1991,,91,3,25,0.765,0.025,0.21,119,0
1992,,114,0,15,0.884,0.0,0.116,129,0
1993,,207,1,37,0.845,0.004,0.151,245,0
1994,,143,2,57,0.708,0.01,0.282,202,0
1995,,188,24,73,0.66,0.084,0.256,285,0
1996,,76,0,7,0.916,0.0,0.084,83,1
1997,,188,0,88,0.681,0.0,0.319,276,0
1998,,93,0,5,0.949,0.0,0.051,98,1
1999,,78,0,4,0.951,0.0,0.049,82,1
2000,,73,0,14,0.839,0.0,0.161,87,1
2001,,86,0,16,0.843,0.0,0.157,102,1
2002,,151,0,5,0.968,0.0,0.032,156,1
2003,,206,0,15,0.932,0.0,0.068,221,1
2004,,254,0,22,0.92,0.0,0.08,276,1
2005,,234,0,31,0.883,0.0,0.117,265,1
2006,,71,0,56,0.559,0.0,0.441,127,1
2007,,336,0,179,0.652,0.0,0.348,515,1
2008,,198,0,94,0.678,0.0,0.322,292,1
2009,,381,0,264,0.591,0.0,0.409,645,1
2010,,117,0,438,0.211,0.0,0.789,555,1
2011,,36,180,49,0.136,0.679,0.185,265,1
2012,,49,16,18,0.59,0.193,0.217,83,1
